model,MAE,RMSE,RMSSE_global
HistGradientBoosting,1.0124638334260772,2.0130112875000328,0.5783322360167432
Ridge Regression,1.0206747588322422,2.0395290990367547,0.5859507254586723
Moving Average 7,1.0374073822574919,2.1014228611643158,0.6037326216998875
Seasonal Naive 7,1.2447230942229301,2.6815128081654116,0.7703907612856907
Seasonal Naive 28,1.2840486342126225,2.8291679111837027,0.8128116391109221
