model,MAE,RMSE,RMSSE_global
HistGradientBoosting fallback,0.9573097291315771,1.6794402388936176,0.4131578619444518
Baseline moving average 28,0.9747885191492136,1.8206037046657317,0.44788538266974864
Baseline moving average 7,1.0010455291289453,1.8746189224874483,0.4611736268066083
Baseline naive lag_1,1.4045242847638058,3.4549664369579127,0.8499537602622562
